epoch,train_loss,val_loss,task_loss,kd_loss,ewc_loss,lr
0,0.005506399297126318,0.0015564482889196497,0.005506399297126318,0.0,0.0,0.0001
1,0.003710677362414188,0.0029774851853477335,0.003710677362414188,0.0,0.0,0.0001
2,0.003164454764860248,0.001369693704013251,0.003164454764860248,0.0,0.0,0.0001
3,0.0025598641337846945,0.0014043576089046615,0.0025598641337846945,0.0,0.0,0.0001
4,0.00236463517889847,0.0011868470532699655,0.00236463517889847,0.0,0.0,0.0001
5,0.002188574228559863,0.0009014503968529826,0.002188574228559863,0.0,0.0,0.0001
6,0.0019150561974472836,0.0009891480765385273,0.0019150561974472836,0.0,0.0,0.0001
7,0.0017748304208364202,0.0009711625697152225,0.0017748304208364202,0.0,0.0,0.0001
8,0.0016333887587539914,0.0017505320023153562,0.0016333887587539914,0.0,0.0,0.0001
9,0.0014111334650196879,0.0010216036284145162,0.0014111334650196879,0.0,0.0,0.0001
10,0.0012144679233664355,0.0005908796983376663,0.0012144679233664355,0.0,0.0,0.0001
11,0.0010787456178073633,0.0008857144079686856,0.0010787456178073633,0.0,0.0,0.0001
12,0.0009768290154840292,0.0009086304210587995,0.0009768290154840292,0.0,0.0,0.0001
13,0.0008518867397617393,0.0005623464203629272,0.0008518867397617393,0.0,0.0,0.0001
14,0.0007378447284318276,0.0005879952189513567,0.0007378447284318276,0.0,0.0,0.0001
15,0.0006726799248209922,0.00047674260514050693,0.0006726799248209922,0.0,0.0,0.0001
16,0.0005715303721720166,0.0007001994034645502,0.0005715303721720166,0.0,0.0,0.0001
17,0.0005714512330616585,0.0005967661931266553,0.0005714512330616585,0.0,0.0,0.0001
18,0.0005242398785642449,0.0008374746356212318,0.0005242398785642449,0.0,0.0,0.0001
19,0.0004689026468565366,0.0007489826841362219,0.0004689026468565366,0.0,0.0,0.0001
20,0.000443854472845859,0.0008478376279101101,0.000443854472845859,0.0,0.0,0.0001
21,0.0005109576277605765,0.0019888877245754118,0.0005109576277605765,0.0,0.0,5e-05
22,0.0004931743699028955,0.001549330559738619,0.0004931743699028955,0.0,0.0,5e-05
23,0.00042773081154384506,0.001836272303729634,0.00042773081154384506,0.0,0.0,5e-05
24,0.00036031626546328776,0.001452272129477679,0.00036031626546328776,0.0,0.0,5e-05
25,0.000379012545393296,0.0017339263376223196,0.000379012545393296,0.0,0.0,5e-05
26,0.00035858745231547224,0.0014965158250996504,0.00035858745231547224,0.0,0.0,5e-05
27,0.0003298748029668848,0.001551491209899433,0.0003298748029668848,0.0,0.0,2.5e-05
28,0.00029646860825707804,0.0015337453012929728,0.00029646860825707804,0.0,0.0,2.5e-05
29,0.00029333846075714465,0.0014251944406899037,0.00029333846075714465,0.0,0.0,2.5e-05
30,0.00029475686167725464,0.0015220617610611953,0.00029475686167725464,0.0,0.0,2.5e-05
31,0.0002820892697476687,0.0017070851898511952,0.0002820892697476687,0.0,0.0,2.5e-05
32,0.00028192398163977576,0.0013253949368904673,0.00028192398163977576,0.0,0.0,2.5e-05
33,0.00026434997162543184,0.0011026685858512902,0.00026434997162543184,0.0,0.0,1.25e-05
34,0.0002535580620527263,0.0008140528750828512,0.0002535580620527263,0.0,0.0,1.25e-05
35,0.0002506279443446633,0.0008572852171972633,0.0002506279443446633,0.0,0.0,1.25e-05
