number,values_0,params_lambda0
0,0.027131201699376106,0.003148911647956862
1,0.054981738328933716,0.6351221010640696
2,0.04344158247113228,0.08471801418819976
3,0.03131464123725891,0.024810409748678097
4,0.03343658521771431,0.00042079886696066364
5,0.031133903190493584,0.0004207053950287938
6,0.03803727775812149,0.0001707396743152812
7,0.026121551170945168,0.29154431891537513
8,0.0379057377576828,0.02537815508265665
9,0.05552104488015175,0.06796578090758151
10,0.04483005031943321,0.8229631658321763
11,0.03495119884610176,0.0036313970346435066
12,0.03022092580795288,0.003977297631572596
13,0.027265511453151703,0.002440077192766222
14,0.042252857238054276,0.23000419882288173
15,0.023699631914496422,0.011855601218811873
16,0.050714801996946335,0.20170227431168797
17,0.030776768922805786,0.008390178872346665
18,0.043735671788454056,0.022489811057604076
19,0.02553139440715313,0.0011768225184434463
20,0.04524168372154236,0.0013275283883341523
21,0.04131190851330757,0.0010094723155730555
22,0.016392940655350685,0.009309510059838462
23,0.04962855204939842,0.011298592867396751
24,0.04727104306221008,0.008464188343830297
25,0.020495833829045296,0.0009125703046060933
26,0.05258877947926521,0.05748594743060446
27,0.03433014824986458,0.00011022859371633158
28,0.06611759215593338,0.0004272585238482938
29,0.016898848116397858,0.014410040337915209
