epoch,time,lr,train_loss,val_loss,task_loss,kd_loss,si_loss,KL,alpha,lambda,adapter
0,104.31106162071228,0.0001,0.02860100903759359,0.0014317572754555502,0.02860100903759359,0.0,0.0,0.0,0.0,0.0,0.0
1,103.80289125442505,0.0001,0.006851373963378403,0.0012917599276303679,0.006851373963378403,0.0,0.0,0.0,0.0,0.0,0.0
2,109.15038180351257,0.0001,0.0052833018669208595,0.0011261023805138539,0.0052833018669208595,0.0,0.0,0.0,0.0,0.0,0.0
3,107.5512363910675,0.0001,0.004283268666922879,0.0005008893828015015,0.004283268666922879,0.0,0.0,0.0,0.0,0.0,0.0
4,108.63786363601685,0.0001,0.0029158416706702,0.00028231213042124184,0.0029158416706702,0.0,0.0,0.0,0.0,0.0,0.0
5,114.3467161655426,0.0001,0.002127479458495561,0.00021854981062253653,0.002127479458495561,0.0,0.0,0.0,0.0,0.0,0.0
6,108.99433183670044,0.0001,0.0015249407041415428,0.00031923456065159974,0.0015249407041415428,0.0,0.0,0.0,0.0,0.0,0.0
7,112.90744662284851,0.0001,0.0010934102413474157,0.000314990626189023,0.0010934102413474157,0.0,0.0,0.0,0.0,0.0,0.0
8,108.37517476081848,0.0001,0.0008202205593186994,0.0002169368908402908,0.0008202205593186994,0.0,0.0,0.0,0.0,0.0,0.0
9,109.02528548240662,0.0001,0.0007186452508216516,0.0003142845351322098,0.0007186452508216516,0.0,0.0,0.0,0.0,0.0,0.0
10,109.37965297698975,0.0001,0.0006688097478314524,0.0002462809197159173,0.0006688097478314524,0.0,0.0,0.0,0.0,0.0,0.0
11,113.05012083053589,0.0001,0.0005210698726069172,0.0002701967456290733,0.0005210698726069172,0.0,0.0,0.0,0.0,0.0,0.0
12,108.27864813804626,0.0001,0.0004721924526337447,0.00024146767715843876,0.0004721924526337447,0.0,0.0,0.0,0.0,0.0,0.0
13,107.92961192131042,0.0001,0.00027874719108782165,0.00040439955053970465,0.00027874719108782165,0.0,0.0,0.0,0.0,0.0,0.0
14,112.73774409294128,0.0001,0.00022224080994495942,0.00029274946442449953,0.00022224080994495942,0.0,0.0,0.0,0.0,0.0,0.0
15,109.35012531280518,5e-05,0.0001680880483762735,0.000341570034108409,0.0001680880483762735,0.0,0.0,0.0,0.0,0.0,0.0
16,108.33591079711914,5e-05,0.0001511046162128667,0.0005306188349998128,0.0001511046162128667,0.0,0.0,0.0,0.0,0.0,0.0
17,110.74892401695251,5e-05,0.000138468148662968,0.000672009441549168,0.000138468148662968,0.0,0.0,0.0,0.0,0.0,0.0
18,108.11549353599548,5e-05,0.00012069715647124186,0.0008922925648450703,0.00012069715647124186,0.0,0.0,0.0,0.0,0.0,0.0
19,109.71745347976685,5e-05,0.00011338801129326815,0.0007650561566998299,0.00011338801129326815,0.0,0.0,0.0,0.0,0.0,0.0
20,108.5286316871643,5e-05,0.00010678565431084376,0.0008711570093336533,0.00010678565431084376,0.0,0.0,0.0,0.0,0.0,0.0
21,110.66981887817383,2.5e-05,9.33298870524117e-05,0.0009601308728947597,9.33298870524117e-05,0.0,0.0,0.0,0.0,0.0,0.0
22,115.90890574455261,2.5e-05,9.095473913332637e-05,0.0010114441542136807,9.095473913332637e-05,0.0,0.0,0.0,0.0,0.0,0.0
23,114.92112112045288,2.5e-05,8.78793547176291e-05,0.0008402008807503268,8.78793547176291e-05,0.0,0.0,0.0,0.0,0.0,0.0
24,114.11460542678833,2.5e-05,8.578994636667002e-05,0.00108202273722142,8.578994636667002e-05,0.0,0.0,0.0,0.0,0.0,0.0
25,108.19382762908936,2.5e-05,8.294189146188187e-05,0.0009846297224444006,8.294189146188187e-05,0.0,0.0,0.0,0.0,0.0,0.0
26,108.75409770011902,2.5e-05,8.434857915876454e-05,0.0010628755590620968,8.434857915876454e-05,0.0,0.0,0.0,0.0,0.0,0.0
27,108.03395557403564,1.25e-05,7.802188671313515e-05,0.0012929140411616074,7.802188671313515e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,112.99821066856384,1.25e-05,7.513656549185233e-05,0.0012522024859132634,7.513656549185233e-05,0.0,0.0,0.0,0.0,0.0,0.0
